query,query_en,value
перевод,translation,0.0018396816629279345
новости,news,3.04790992561292e-10
чебурашка,Cheburashka,3.04790992561292e-10
chatgpt,chatgpt,5.409571596552793e-11
электронный дневник,electronic diary,8.46196806848154e-07
гугл,Google,2.2038238923005368e-10
гипсофилы,Gypsophyla,4.546922532469812e-14
госуслуги,public services,2.275313732488371e-06
ютуб,Ютуб,1.7827492264860078e-20
телеграм,telegram,0.00461056021696754
погода завтра,Weather tomorrow,2.6531041140535185e-08
авито,Avito,3.4708497598740127e-06
валберис,Walberis,1.580316760036837e-06
вк,VC,2.769706261756808e-10
переводчик,translator,1.8604241224847277e-05
дневник ру,diary RU,3.4708497598740127e-06
одноклассники,classmates,2.6148266473233464e-16
с днем рождения,Happy birthday,0.0002384772526017693
программа передач,Program Guide,2.0971186412765735e-13
яндекс,Yandex,0.002767187834654101
пасха 2023,Easter 2023,9.54696510144592e-06
днс,DNS,1.828399591552798e-17
сбербанк,Sberbank,8.210429192461913e-08
вконтакте,in contact with,1.4528975389454452e-08
вайлдберриз,vildberry,3.3297274133976163e-07
гдз,Gdz,5.3476525352552624e-12
youtube,youtube,0.00018791118070078278
аватар 2,Avatar 2,5.608650782967649e-06
озон,ozone,1.0254033758572361e-08
инна чурикова,Inna Churikova,1.3959308615386144e-06
погода,weather,1.799924926070363e-05
atomic heart,atomic heart,0.007859014050964517
производственный календарь 2023,Production calendar 2023,0.0032406377456433077
сетевой город,Network city,0.02166982723648196
сбербанк онлайн,Sberbank Online,8.912754225425437e-11
