cluster_id,discordance,size
-1,0.037037037037037035,5049
0,0.6666666666666666,18
1,1.0,10
2,0.25,8
3,0.7777777777777778,9
4,-0.125,16
5,0.14285714285714285,7
6,0.42857142857142855,14
7,0.3684210526315789,19
8,-1.0,8
9,1.0,10
10,-0.14285714285714285,21
11,0.75,8
12,-0.23076923076923078,13
13,0.8181818181818182,11
14,-1.0,12
15,0.09090909090909091,11
16,0.3333333333333333,9
17,0.42857142857142855,7
18,0.1111111111111111,9
19,-0.875,16
20,0.4,10
21,0.25,16
22,0.2857142857142857,14
23,1.0,11
24,0.14285714285714285,7
25,0.2727272727272727,11
26,-0.6666666666666666,12
27,-0.09090909090909091,11
28,0.6363636363636364,11
29,0.3333333333333333,9
30,0.23076923076923078,13
31,-0.2857142857142857,14
32,0.14285714285714285,14
33,0.16666666666666666,12
34,0.3333333333333333,15
35,0.058823529411764705,17
36,-0.1111111111111111,9
37,0.42857142857142855,7
38,0.5555555555555556,9
39,-0.2,10
40,-0.14285714285714285,7
41,-0.4117647058823529,17
42,0.1,20
43,-0.4,10
44,-1.0,8
45,0.0,10
46,-0.14285714285714285,7
47,-0.5555555555555556,18
48,-0.42857142857142855,14
49,-0.36363636363636365,22
50,-0.4,10
51,-1.0,8
52,0.3333333333333333,24
53,0.4,10
54,0.0,8
55,-0.42857142857142855,7
56,0.5,8
57,-0.25,16
58,-0.14285714285714285,7
59,-0.5,12
60,0.0,8
61,0.047619047619047616,21
62,0.14285714285714285,21
63,1.0,7
64,0.5555555555555556,9
65,-0.14285714285714285,7
66,0.5,8
67,-0.75,8
68,-0.42857142857142855,7
69,0.5555555555555556,9
70,0.14285714285714285,7
71,0.0,8
72,-0.42857142857142855,7
73,-0.125,16
74,0.4,10
75,0.42857142857142855,7
76,-0.7142857142857143,14
77,0.45454545454545453,11
78,0.0,8
79,0.2,15
80,-0.3333333333333333,12
81,0.5,20
82,0.3333333333333333,9
83,0.14285714285714285,7
84,0.30434782608695654,23
85,0.42857142857142855,7
86,0.6,10
87,0.0,8
88,0.17647058823529413,17
89,0.14285714285714285,7
90,-1.0,7
91,-0.4,10
92,0.5,8
93,0.14285714285714285,7
94,0.0,10
95,-0.4,10
96,0.2,10
97,0.0,10
98,-0.06666666666666667,15
99,0.0,14
100,0.25,8
101,0.125,16
102,0.42857142857142855,7
103,0.5,8
104,0.5555555555555556,9
105,-0.5,8
106,-0.1111111111111111,9
107,-1.0,8
108,0.29411764705882354,17
109,0.5,8
110,0.6363636363636364,11
111,-1.0,7
112,0.3333333333333333,9
113,0.14285714285714285,7
114,0.5555555555555556,9
115,-0.14285714285714285,7
116,0.4117647058823529,17
117,-0.25,8
118,1.0,9
119,-0.6666666666666666,12
120,1.0,11
121,-0.6,10
122,-0.6363636363636364,11
123,-0.14285714285714285,7
124,-0.14285714285714285,7
125,0.0,8
126,-0.2,10
127,0.2,10
128,-0.38461538461538464,13
129,-0.6,10
130,0.7142857142857143,21
131,0.5,12
132,-1.0,8
133,0.061224489795918366,49
134,0.42857142857142855,7
